RestaurantName,Cuisine,Rating,NumberofRatings,NumberofOffers,Area,PureVeg,Location
Indian Rasoi,Burgers- Pastas,2.9,10+ ratings,0,Kamla Nagar,Yes,Agra
Sarvaheet,North Indian- Kebabs,--,Too Few Ratings,1,Jakhan,No,Agra
The Kitchen House,Fast Food- Beverages,--,Too Few Ratings,1,Kamla Nagar,No,Agra
Shri Bankey Bihari Misthan Bhandar,Desserts- Beverages,4.2,1K+ ratings,1,Kamla Nagar,Yes,Agra
Shri Thakur Ji Misthan Bhandar,Desserts- Sweets,4,3 ratings,2,Kamla Nagar,Yes,Agra
Brijbhog Mishthan Bhandar,Sweets- Street Food,4.5,1K+ ratings,2,Kamla Nagar,Yes,Agra
Pizza Cave,Pizzas,4.2,500+ ratings,2,Kamla Nagar,Yes,Agra
Le Vera Pizza,Pizzas,4.4,100+ ratings,1,Kamla Nagar,Yes,Agra
Unavu South Indian,South Indian- Snacks,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
Anna Samrat Restaurant,South Indian- North Indian,3.2,50+ ratings,2,Kamla Nagar,Yes,Agra
Shri Shyam Ji Shakahari Bhojanalaya,Indian- North Indian,3.8,50+ ratings,2,Gajanan Nagar,Yes,Agra
Food Costa,Chinese- Indian,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
Cakes,Bakery,NEW,,2,Agra,No,Agra
Kings,Indian,4.3,1K+ ratings,2,Kamla Nagar,Yes,Agra
Jain Cake Wakers,Bakery,3.3,20+ ratings,1,Kamla Nagar,Yes,Agra
Shay Hub,Pizzas- Pastas,3.8,10+ ratings,3,Kamla Nagar,Yes,Agra
Yum Yum Vada Pav No.1,North Indian,3.6,100+ ratings,1,Kamla Nagar,Yes,Agra
Little Maggi Point,Snacks- Chinese,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
D'Zurt Cafe,Beverages- Burgers,4.7,3 ratings,3,Kamla Nagar,Yes,Agra
Hotel DD Suites,Indian- Continental,4.1,9 ratings,1,Kamla Nagar,Yes,Agra
Talk Of The Town,Chinese- Pizzas,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
Karchi,North Indian- Mughlai,4.3,1K+ ratings,1,Kamla Nagar,No,Agra
Chows Kitchen,Chinese- Thai,4,100+ ratings,1,Kamla Nagar,No,Agra
Sri Dauji Chatpataa,Desserts,4.3,1K+ ratings,1,Kamla Nagar,Yes,Agra
Chaat Bazar,Chaat- Sweets,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
Guru Kripa Bhojnalaya,North Indian- Snacks,4,1K+ ratings,1,Kamla Nagar,Yes,Agra
Vibe Hai Vibe Hai,Italian-American- Fast Food,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
Cake Farmer,Desserts,--,Too Few Ratings,1,Kamla Nagar,No,Agra
Shere Punjab Hotel & Restaurant,Chinese- North Indian,3.3,20+ ratings,2,Kamla Nagar,No,Agra
Yatika Pizza And Garlic,Pizzas- Burgers,--,Too Few Ratings,2,Kamla Nagar,Yes,Agra
Tongue Twister,Chinese- Fast Food,4.3,500+ ratings,1,Kamla Nagar,Yes,Agra
Shri Radhay Chaat Bhandar,Chaat- Fast Food,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
Shri Vrindavan Pan Bhandar,Paan,--,Too Few Ratings,1,Kamla Nagar,Yes,Agra
Celebration Restaurant,Chinese- Desserts,4,100+ ratings,1,Kamla Nagar,Yes,Agra
Momos Point,Chinese,3.9,6 ratings,1,Kamla Nagar,No,Agra
Urban Vada Pav,Snacks- Rolls & Wraps,4.5,20+ ratings,3,Kamla Nagar,Yes,Agra
Garlick,Snacks- Fast Food,4.7,6 ratings,1,Kamla Nagar,Yes,Agra
Subway,Healthy Food- Salads,4.1,5K+ ratings,1,Motera,No,Ahmedabad
The Chocolate Room,Bakery- Desserts,4.1,500+ ratings,4,Motera,Yes,Ahmedabad
Domino'S Pizza,Pizzas- Italian,4.3,1K+ ratings,3,Motera,No,Ahmedabad
PVR Cafe,Snacks- Fast Food,4.4,50+ ratings,3,Motera,No,Ahmedabad
Khichdi Etc,North Indian- Gujarati,4.5,5K+ ratings,4,Motera,Yes,Ahmedabad
Theobroma,Bakery- Desserts,4.4,50+ ratings,2,Motera,No,Ahmedabad
Drink Eat Fun,Pizzas- Pastas,3.9,20+ ratings,1,Motera,Yes,Ahmedabad
Dangee Dums,Desserts- Bakery,4.4,500+ ratings,2,Motera,Yes,Ahmedabad
